Date,High,Low,Open,Close,Volume,Adj Close
2017-01-01,1001.61,956.1,963.38,995.44,40570922,995.44
2017-01-02,1031.6801,990.2,995.44,1017.05,66038073,1017.05
2017-01-03,1035.47,1006.53,1017.05,1033.3,56085870,1033.3
2017-01-04,1148.54,1022.32,1033.3,1135.41,170584623,1135.41
2017-01-05,1150.63,874.53,1135.41,989.35,244839289,989.35
2017-01-06,1027.42,852.55,989.35,886.16,179160668,886.16
2017-01-07,900.86,806.66,886.16,888.87,113037531,888.87
2017-01-08,936.13,875.85,888.87,900.86,70298340,900.86
2017-01-09,910.47,870.91,900.86,899.78,55963281,899.78
2017-01-10,911.32,890.12,899.78,904.37,48644106,904.37
2017-01-11,917.65,751.63,904.37,785.43,160194109,785.43
2017-01-12,828.21,739.55,785.43,810.11,93986701,810.11
2017-01-13,835.05,771.0,810.11,824.83,72555875,824.83
2017-01-14,838.9,808.27,824.83,819.63,36594482,819.63
2017-01-15,826.43,808.63,819.63,821.17,20004735,821.17
2017-01-16,836.66,817.7,821.17,827.34,27592899,827.34
2017-01-17,906.38,825.04,827.34,899.66,72272727,899.66
2017-01-18,913.67,845.87,899.66,872.03,61042392,872.03
2017-01-19,905.28,870.71,872.03,895.21,52300814,895.21
2017-01-20,901.49,878.9,895.21,892.91,34847130,892.91
2017-01-21,928.93,889.46,892.91,919.84,37129176,919.84
2017-01-22,938.38,888.62,919.84,918.84,44074299,918.84
2017-01-23,927.98,910.85,918.84,921.46,30261054,921.46
2017-01-24,925.61,889.15,921.46,893.75,53468911,893.75
2017-01-25,905.7,883.63,893.75,894.41,34014866,894.41
2017-01-26,919.32,893.49,894.41,915.56,30795685,915.56
2017-01-27,922.56,907.92,915.56,918.01,28503144,918.01
2017-01-28,921.89,912.84,918.01,918.51,13251844,918.51
2017-01-29,922.4,912.68,918.51,914.55,10214368,914.55
2017-01-30,922.35,911.51,914.55,920.73,17604172,920.73
2017-01-31,967.45,917.38,920.73,965.49,51869216,965.49
2017-02-01,986.57,959.82,965.49,982.43,44035816,982.43
2017-02-02,1009.13,973.5,982.43,1003.97,50633910,1003.97
2017-02-03,1023.72,989.21,1003.97,1013.02,62431017,1013.02
2017-02-04,1041.04,1000.41,1013.02,1031.85,40406542,1031.85
2017-02-05,1033.66,1004.05,1031.85,1016.11,31669956,1016.11
2017-02-06,1030.6,1010.83,1016.11,1024.67,32828350,1024.67
2017-02-07,1054.1,1019.87,1024.67,1049.5601,41318349,1049.5601
2017-02-08,1069.23,1020.33,1049.5601,1055.49,68336320,1055.49
2017-02-09,1073.03,924.65,1055.49,978.96,145839317,978.96
2017-02-10,1005.6,947.02,978.96,997.61,60639111,997.61
2017-02-11,1014.32,983.93,997.61,1008.32,28504495,1008.32
2017-02-12,1007.82,992.45,1008.32,996.52,14825023,996.52
2017-02-13,1007.61,975.1,996.52,995.36,32785064,995.36
2017-02-14,1013.8,986.46,995.36,1008.34,39810076,1008.34
2017-02-15,1010.93,999.73,1008.34,1008.19,23569549,1008.19
2017-02-16,1040.28,1007.39,1008.19,1031.9301,39114743,1031.9301
2017-02-17,1057.39,1025.87,1031.9301,1049.41,47815360,1049.41
2017-02-18,1063.21,1044.6801,1049.41,1052.28,26856521,1052.28
2017-02-19,1056.48,1037.67,1052.28,1048.89,18876881,1048.89
2017-02-20,1081.78,1040.99,1048.89,1077.5601,32959720,1077.5601
2017-02-21,1123.03,1073.54,1077.5601,1119.03,62908569,1119.03
2017-02-22,1132.25,1094.83,1119.03,1120.46,53647453,1120.46
2017-02-23,1181.6,1113.54,1120.46,1171.91,75663167,1171.91
2017-02-24,1211.74,1092.41,1171.91,1176.49,126978010,1176.49
2017-02-25,1180.01,1116.21,1176.49,1149.05,53003830,1149.05
2017-02-26,1177.47,1130.61,1149.05,1171.58,35750258,1171.58
2017-02-27,1195.8199,1164.27,1171.58,1188.83,42035366,1188.83
2017-02-28,1208.22,1175.75,1188.83,1189.27,60371869,1189.27
2017-03-01,1225.04,1154.55,1189.27,1222.66,61964760,1222.66
2017-03-02,1286.98,1211.96,1222.66,1255.47,98040639,1255.47
2017-03-03,1291.35,1250.8,1255.47,1283.3,85876262,1283.3
2017-03-04,1285.78,1228.73,1283.3,1264.3199,48597934,1264.3199
2017-03-05,1273.28,1242.1,1264.3199,1271.22,32104972,1271.22
2017-03-06,1280.61,1261.0,1271.22,1277.01,39591110,1277.01
2017-03-07,1280.89,1148.66,1277.01,1232.6899,108673876,1232.6899
2017-03-08,1242.04,1136.88,1232.6899,1146.97,116342973,1146.97
2017-03-09,1206.97,1129.35,1146.97,1191.33,70427061,1191.33
2017-03-10,1330.42,988.69,1191.33,1112.39,223836041,1112.39
2017-03-11,1202.6899,1104.78,1112.39,1179.22,82387198,1179.22
2017-03-12,1235.46,1160.9,1179.22,1225.11,53441762,1225.11
2017-03-13,1245.63,1205.61,1225.11,1238.1899,74376298,1238.1899
2017-03-14,1255.52,1218.38,1238.1899,1243.14,56058617,1243.14
2017-03-15,1256.95,1236.4301,1243.14,1253.4301,54486699,1253.4301
2017-03-16,1260.24,1118.96,1253.4301,1172.88,159409024,1172.88
2017-03-17,1174.9,1063.48,1172.88,1071.71,183879768,1071.71
2017-03-18,1103.61,940.18,1071.71,971.38,212772055,971.38
2017-03-19,1063.67,967.31,971.38,1022.6,108128237,1022.6
2017-03-20,1057.5,1005.05,1022.6,1047.51,63833143,1047.51
2017-03-21,1125.53,1043.87,1047.51,1121.29,101051998,1121.29
2017-03-22,1121.88,997.78,1121.29,1044.72,120730492,1044.72
2017-03-23,1062.79,1022.02,1044.72,1035.03,58898141,1035.03
2017-03-24,1038.38,927.35,1035.03,939.7,130042865,939.7
2017-03-25,995.96,890.43,939.7,966.3,118395054,966.3
2017-03-26,1004.32,946.65,966.3,969.44,83255983,969.44
2017-03-26,1048.85,961.8,969.44,1045.14,92332221,1045.14
2017-03-27,1068.41,1015.45,1045.14,1044.42,83567551,1044.42
2017-03-28,1058.66,1008.34,1044.42,1041.9,71261535,1041.9
2017-03-29,1052.66,1020.93,1041.9,1037.91,77633883,1037.91
2017-03-30,1088.2,1035.1801,1037.91,1079.11,96543920,1079.11
2017-03-31,1103.74,1067.47,1079.11,1086.12,55020078,1086.12
2017-04-01,1109.48,1074.21,1086.12,1097.4,77853933,1097.4
2017-04-02,1157.87,1095.55,1097.4,1147.5601,111870807,1147.5601
2017-04-03,1161.1899,1122.15,1147.5601,1141.77,81164094,1141.77
2017-04-04,1143.84,1110.0601,1141.77,1129.87,78335573,1129.87
2017-04-05,1201.55,1130.51,1129.87,1188.7,108182158,1188.7
2017-04-06,1201.23,1173.1801,1188.7,1190.49,71184485,1190.49
2017-04-07,1198.22,1166.65,1190.49,1180.78,39393003,1180.78
2017-04-08,1215.1,1173.99,1180.78,1204.34,54498333,1204.34
2017-04-09,1214.87,1194.8101,1204.34,1206.71,48473680,1206.71
2017-04-10,1229.5699,1195.76,1206.71,1220.74,45563707,1220.74
2017-04-11,1225.46,1207.36,1220.74,1212.53,54699396,1212.53
2017-04-12,1218.66,1150.29,1212.53,1176.2,78456422,1176.2
2017-04-13,1195.4,1162.16,1176.2,1177.33,56129576,1177.33
2017-04-14,1194.85,841.53,1177.33,1176.99,33877537,1176.99
2017-04-15,1187.97,1166.74,1176.99,1176.8,22538918,1176.8
2017-04-16,1202.97,1172.8101,1176.8,1194.01,56095607,1194.01
2017-04-17,1213.88,1191.14,1194.01,1206.09,64900219,1206.09
2017-04-18,1218.21,1194.08,1206.09,1215.2,53034357,1215.2
2017-04-19,1246.64,1210.67,1215.2,1238.09,69223360,1238.09
2017-04-20,1256.97,1235.5601,1238.09,1249.64,52498296,1249.64
2017-04-21,1256.97,1215.78,1249.64,1240.89,55776932,1240.89
2017-04-22,1256.23,1223.0601,1240.89,1249.14,54224355,1249.14
2017-04-23,1256.36,1234.86,1249.14,1248.1801,49281629,1248.1801
2017-04-24,1272.62,1244.21,1248.1801,1264.3101,56659016,1264.3101
2017-04-25,1309.2,1263.0,1264.3101,1286.63,77649710,1286.63
2017-04-26,1346.79,1285.3,1286.63,1332.91,83319636,1332.91
2017-04-27,1356.15,1287.62,1332.91,1329.62,104536476,1329.62
2017-04-28,1343.6899,1314.15,1329.62,1336.28,55982468,1336.28
2017-04-29,1358.9399,1309.66,1336.28,1351.91,55470285,1351.91
2017-04-30,1448.6801,1342.78,1351.91,1415.8101,144414038,1415.8101
2017-05-01,1471.14,1394.83,1415.8101,1445.9301,103342244,1445.9301
2017-05-02,1496.39,1424.05,1445.9301,1485.55,122551707,1485.55
2017-05-03,1609.84,1437.11,1485.55,1516.76,213084949,1516.76
2017-05-04,1588.11,1485.01,1516.76,1507.77,188015771,1507.77
2017-05-05,1560.42,1503.9301,1507.77,1545.29,92747185,1545.29
2017-05-06,1572.89,1495.1801,1545.29,1554.45,111708072,1554.45
2017-05-07,1667.67,1552.86,1554.45,1664.47,174687869,1664.47
2017-05-08,1757.39,1619.97,1664.47,1697.5,219169486,1697.5
2017-05-09,1766.1801,1664.99,1697.5,1752.3101,156203600,1752.3101
2017-05-10,1864.76,1741.54,1752.3101,1819.29,198829123,1819.29
2017-05-11,1822.51,1641.1801,1819.29,1686.39,192159873,1686.39
2017-05-12,1770.5,1594.59,1686.39,1763.74,128390095,1763.74
2017-05-13,1802.75,1736.13,1763.74,1772.55,72874378,1772.55
2017-05-14,1776.65,1656.8101,1772.55,1708.92,138499150,1708.92
2017-05-15,1752.55,1653.72,1708.92,1729.34,130379207,1729.34
2017-05-16,1842.83,1703.97,1729.34,1801.3,170954154,1801.3
2017-05-17,1980.49,1791.12,1801.3,1880.99,135901905,1880.99
2017-05-18,1969.7,1875.28,1880.99,1962.0,191523926,1962.0
2017-05-19,2048.45,1944.4,1962.0,2040.1801,179346919,2040.1801
2017-05-20,2094.9399,1980.0699,2040.1801,2044.1899,161036810,2044.1899
2017-05-21,2264.76,1998.61,2044.1899,2124.4099,373482496,2124.4099
2017-05-22,2286.3,2110.78,2124.4099,2272.5801,251969081,2272.5801
2017-05-23,2496.98,2263.29,2272.5801,2445.28,353734030,2445.28
2017-05-24,2781.76,2210.48,2445.28,2307.22,622139030,2307.22
2017-05-25,2616.52,2051.45,2306.96,2244.8899,441342711,2244.8899
2017-05-26,2322.3701,1868.5601,2244.8899,2052.4299,446034004,2052.4299
2017-05-27,2300.52,2051.0701,2052.4299,2189.02,266766116,2189.02
2017-05-28,2337.3501,2117.3401,2189.02,2278.21,204101576,2278.21
2017-05-29,2329.26,2147.1001,2278.21,2192.55,270069146,2192.55
2017-05-30,2330.6201,2168.3701,2192.55,2303.3401,261223035,2303.3401
2017-05-31,2460.8401,2303.3401,2303.3401,2412.6499,290070431,2412.6499
2017-06-01,2493.97,2385.5901,2412.6499,2492.6001,199765372,2492.6001
