,Date,Tweet,favorite_count
0,2019-04-04,"RT @Braddock512: In addition to Battlefield Currency, Epic cosmetics will be available through multiple progression layers: Chapter Rewards…",0
1,2019-04-04,RT @ItsArabMoney: The type of accidents I’m tryna make https://t.co/Z47ImFA14m,0
2,2019-04-04,RT @ItsArabMoney: The type of accidents I’m tryna make https://t.co/Z47ImFA14m,0
3,2019-04-04,RT @ItsArabMoney: The type of accidents I’m tryna make https://t.co/Z47ImFA14m,0
4,2019-04-04,RT @LeoLanza3: From February 21 Nailed it again! #bitcoin #trading #cryptotrading #Bitcointrading https://t.co/LBWhHtAeab,0
5,2019-04-04,"@lancewalton This is today's currency, I'm sorry to say. No sanction. No moral code.",0
6,2019-04-04,"RT @viitasphere: Read the article on Medium now and discover how Viitasphere will give you control of your own wealth.

#blockchain #crypto…",0
7,2019-04-04,Russians Have Bought $8.6 Billion in Bitcoin! This Proves Bitcoin Is The Future! Free Bitmex Bot &amp; Bitmex Updates f… https://t.co/lUf9O75d8m,0
8,2019-04-04,"#bitcoin #price #plunge #incoming if #bulls #don’t #follow through with #volume 
#instacrypto #instaethereum… https://t.co/Mr6il30sal",0
9,2019-04-04,RT @crypto_rand: Celebrating the #Bitcoin pump with some Kobe https://t.co/r8e2sb3N9H,0
10,2019-04-04,"Crypto Bull Tom Lee: “The Fair Value of Bitcoin Right Now is $14,000” https://t.co/NYdiCQhi4S",0
11,2019-04-04,Simple Yet POWERFUL Chart To Watch In Bitcoin &amp; Crypto Markets | U.S. Finally Regulating Crypto? #BTC https://t.co/zF8x88xIo2,0
12,2019-04-04,RT @ItsArabMoney: The type of accidents I’m tryna make https://t.co/Z47ImFA14m,0
13,2019-04-04,"Crypto Bull Tom Lee: “The Fair Value of Bitcoin Right Now is $14,000” https://t.co/SmQjpErQcY https://t.co/RQnccK5oC6",0
14,2019-04-04,RT @ForecastCity: New intraday forecasts for #EURUSD #GBPUSD #AUDUSD #NZDUSD #USDCHF #USDCAD(Free) #USDJPY #EURJPY #GBPJPY are published!…,0
15,2019-04-04,"@vncxz__ Dinheiro é uma propriedade como todas as outras, conheça a história da criação do dinheiro. Veja o Bitcoin… https://t.co/cUG6VgxRNP",0
16,2019-04-04,MikeQuindazzi: 12 #blockchain solutions in one #infographic &gt;&gt;&gt; #PwC via MikeQuindazzi &gt;&gt;&gt; #pwc #fintech… https://t.co/kPegaphxjb,0
